MatchID,EventID,Team1ID,Team2ID,Team1,Team2,Team1_MapScore,Team2_MapScore
4187,122,916,911,xCeed,RevX Necrosis,1,0
3936,161,1066,788,NerdTown eSport,Noxsports(VASTA Gaming),1,1
3938,161,685,1113,Flayn eSports(HSDIRR),Wooky eSports(Mandala),2,0
4131,183,353,1063,B7 Warriors,S2V Esports,2,1
4203,177,439,1010,Opportunists,Inside Games,1,0
4201,177,439,50,Opportunists,need more DM,1,0
3935,161,324,1011,Wave Esports,TT willhaben(ZEITGEIST),2,0
3937,161,832,1097,Austrian Force(alltheRAGE),Smaracis Esports(FlyToMoon),2,0
4198,177,50,606,need more DM,BeeNinjas,1,0
3654,149,988,982,MUTED,Marten Gaming,1,0
3651,149,985,983,Kum Gaming,Good Game,1,0
4158,164,261,1049,Quantum Strikers ,re'born,1,0
4160,164,614,1139,T1 Korea,BE INFAMOUS,1,0
3895,172,497,1107,Attack All Around,King of Gamers,3,1
4151,164,1049,1132,re'born,CoreNine Esports,1,0
4154,164,614,1140,T1 Korea,TUBEPLE Gaming,1,0
4156,164,1057,1061,aNg DarkHorse,Rover,1,0
4157,164,198,1054,DRX Vision Strikers,THE START W,1,0
4141,164,651,1153,Cloud9 Korea,PROPARTY,1,0
4127,177,682,1190,Gambit Esports,MJAOMODE,1,0
4128,177,832,641,alltheRAGE,Entropiq Bravo,1,0
4123,177,682,1187,Gambit Esports,All Day Long,1,0
4126,177,641,1163,Entropiq Bravo,Arctic Gaming,1,0
3894,172,1107,1007,King of Gamers,Revolution,2,0
3696,168,856,103,Andbox,Immortals,2,0
4105,181,259,837,Destined,Serenity,2,1
4104,181,259,836,Destined,DimmaDome$,1,0
4081,180,1170,439,Stars,Opportunists,1,2
4103,181,837,949,Serenity,Mystify,1,0
3694,168,793,856,Moon Raccoons,Andbox,1,2
3695,168,188,103,Cloud9,Immortals,1,2
4098,181,259,993,Destined,Phoenix1,1,0
4100,181,837,1030,Serenity,Take Flyte,1,0
4101,181,949,484,Mystify,Pretty Boyz,1,0
4080,180,439,61,Opportunists,L'institut,2,0
3691,168,856,423,Andbox,Mamba Mode Gaming,2,0
4079,180,61,655,L'institut,Project SW,2,1
4056,170,400,921,flawless,Oxygen Esports,1,2
4078,180,439,63,Opportunists,InetGamer,2,0
4064,178,832,1074,alltheRAGE,200 Policemen,1,2
4074,180,439,686,Opportunists,Megastitut,1,0
4076,180,61,404,L'institut,team cotch,1,0
4055,170,326,681,nolpenki,SKADE,2,0
4083,180,686,1174,Megastitut,Yendez,1,0
3477,101,857,865,Cracked,Paradox Esports,1,2
4058,163,279,651,Absolute JUPITER,Cloud9 Korea,2,1
3689,168,793,1166,Moon Raccoons,Time In,2,0
3686,168,103,631,Immortals,beastcoast,2,1
